Question,Segment Type,Segment Description,Answer,Count,Percentage
Have you ever met up with someone off tinder?,University,James Madison University,Yes,1,1
Have you ever met up with someone off tinder?,University,James Madison University,No,0,0
Have you ever met up with someone off tinder?,University,James Madison University,I don't use Tinder,0,0
Have you ever met up with someone off tinder?,University,Sacred Heart University,Yes,0,0
Have you ever met up with someone off tinder?,University,Sacred Heart University,No,1,1
Have you ever met up with someone off tinder?,University,Sacred Heart University,I don't use Tinder,0,0
Have you ever met up with someone off tinder?,University,University of Wisconsin-Whitewater,Yes,2,0.4
Have you ever met up with someone off tinder?,University,University of Wisconsin-Whitewater,No,2,0.4
Have you ever met up with someone off tinder?,University,University of Wisconsin-Whitewater,I don't use Tinder,1,0.2
Have you ever met up with someone off tinder?,University,St. Lawrence University,Yes,1,1
Have you ever met up with someone off tinder?,University,St. Lawrence University,No,0,0
Have you ever met up with someone off tinder?,University,St. Lawrence University,I don't use Tinder,0,0
Have you ever met up with someone off tinder?,University,Iowa State University,Yes,0,0
Have you ever met up with someone off tinder?,University,Iowa State University,No,1,1
Have you ever met up with someone off tinder?,University,Iowa State University,I don't use Tinder,0,0
Have you ever met up with someone off tinder?,University,University of Wisconsin-La Crosse,Yes,0,0
Have you ever met up with someone off tinder?,University,University of Wisconsin-La Crosse,No,2,0.667
Have you ever met up with someone off tinder?,University,University of Wisconsin-La Crosse,I don't use Tinder,1,0.333
Have you ever met up with someone off tinder?,University,College of William and Mary,Yes,3,0.188
Have you ever met up with someone off tinder?,University,College of William and Mary,No,7,0.438
Have you ever met up with someone off tinder?,University,College of William and Mary,I don't use Tinder,6,0.375
Have you ever met up with someone off tinder?,University,University of Notre Dame,Yes,0,0
Have you ever met up with someone off tinder?,University,University of Notre Dame,No,3,0.6
Have you ever met up with someone off tinder?,University,University of Notre Dame,I don't use Tinder,2,0.4
Have you ever met up with someone off tinder?,University,University of Tennessee,Yes,2,0.5
Have you ever met up with someone off tinder?,University,University of Tennessee,No,1,0.25
Have you ever met up with someone off tinder?,University,University of Tennessee,I don't use Tinder,1,0.25
Have you ever met up with someone off tinder?,University,Illinois State,Yes,0,0
Have you ever met up with someone off tinder?,University,Illinois State,No,1,0.5
Have you ever met up with someone off tinder?,University,Illinois State,I don't use Tinder,1,0.5
Have you ever met up with someone off tinder?,University,Auburn University,Yes,0,0
Have you ever met up with someone off tinder?,University,Auburn University,No,1,1
Have you ever met up with someone off tinder?,University,Auburn University,I don't use Tinder,0,0
Have you ever met up with someone off tinder?,University,Gonzaga University,Yes,0,0
Have you ever met up with someone off tinder?,University,Gonzaga University,No,1,1
Have you ever met up with someone off tinder?,University,Gonzaga University,I don't use Tinder,0,0
Have you ever met up with someone off tinder?,University,Washington State University,Yes,8,0.308
Have you ever met up with someone off tinder?,University,Washington State University,No,12,0.462
Have you ever met up with someone off tinder?,University,Washington State University,I don't use Tinder,6,0.231
Have you ever met up with someone off tinder?,University,Michigan State University,Yes,0,0
Have you ever met up with someone off tinder?,University,Michigan State University,No,1,1
Have you ever met up with someone off tinder?,University,Michigan State University,I don't use Tinder,0,0
Have you ever met up with someone off tinder?,University,Florida International University,Yes,0,0
Have you ever met up with someone off tinder?,University,Florida International University,No,2,1
